"Notes"	"State"	"State Code"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Alabama"	"01"	"Aug., 2018"	"2018/08"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	65	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2018"	"2018/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	288	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2018"	"2018/08"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2018"	"2018/08"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	70	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2018"	"2018/09"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	73	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2018"	"2018/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	243	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2018"	"2018/09"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	31	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2018"	"2018/09"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	84	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2018"	"2018/10"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	75	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2018"	"2018/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	270	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2018"	"2018/10"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	26	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2018"	"2018/10"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	62	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2018"	"2018/11"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	67	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2018"	"2018/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	267	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2018"	"2018/11"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	31	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2018"	"2018/11"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	69	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2018"	"2018/12"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	112	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2018"	"2018/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	348	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2018"	"2018/12"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2018"	"2018/12"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	82	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2019"	"2019/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	101	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2019"	"2019/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	381	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2019"	"2019/01"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	37	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2019"	"2019/01"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	92	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2019"	"2019/02"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	103	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2019"	"2019/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	297	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2019"	"2019/02"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	40	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2019"	"2019/02"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	84	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2019"	"2019/03"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	94	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2019"	"2019/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	319	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2019"	"2019/03"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	34	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2019"	"2019/03"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	70	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2019"	"2019/04"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	81	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2019"	"2019/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	310	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2019"	"2019/04"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2019"	"2019/04"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	76	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2019"	"2019/05"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	98	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2019"	"2019/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	311	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2019"	"2019/05"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	28	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2019"	"2019/05"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	60	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2019"	"2019/06"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	77	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2019"	"2019/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	268	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2019"	"2019/06"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	26	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2019"	"2019/06"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	75	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2019"	"2019/07"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	61	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2019"	"2019/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	235	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2019"	"2019/07"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2019"	"2019/07"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	82	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2019"	"2019/08"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	77	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2019"	"2019/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	267	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2019"	"2019/08"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2019"	"2019/08"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	65	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2019"	"2019/09"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	77	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2019"	"2019/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	264	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2019"	"2019/09"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2019"	"2019/09"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	72	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2019"	"2019/10"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	62	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2019"	"2019/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	258	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2019"	"2019/10"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2019"	"2019/10"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	92	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2019"	"2019/11"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	90	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2019"	"2019/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	289	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2019"	"2019/11"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2019"	"2019/11"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	74	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2019"	"2019/12"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	97	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2019"	"2019/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	331	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2019"	"2019/12"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	29	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2019"	"2019/12"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	89	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2020"	"2020/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	130	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2020"	"2020/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	332	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2020"	"2020/01"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	34	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2020"	"2020/01"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	78	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2020"	"2020/02"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	129	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2020"	"2020/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	314	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2020"	"2020/02"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	27	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2020"	"2020/02"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	78	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2020"	"2020/03"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	132	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2020"	"2020/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	308	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2020"	"2020/03"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	30	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2020"	"2020/03"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	112	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2020"	"2020/04"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	95	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2020"	"2020/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	273	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2020"	"2020/04"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2020"	"2020/04"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	85	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2020"	"2020/05"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	78	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2020"	"2020/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	268	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2020"	"2020/05"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	24	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2020"	"2020/05"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	68	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2020"	"2020/06"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	59	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2020"	"2020/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	261	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2020"	"2020/06"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2020"	"2020/06"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	70	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2020"	"2020/07"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	83	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2020"	"2020/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	303	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2020"	"2020/07"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2020"	"2020/07"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	64	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2020"	"2020/08"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	84	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2020"	"2020/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	295	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2020"	"2020/08"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2020"	"2020/08"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	79	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2020"	"2020/09"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	79	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2020"	"2020/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	284	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2020"	"2020/09"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	29	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2020"	"2020/09"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	64	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2020"	"2020/10"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	83	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2020"	"2020/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	246	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2020"	"2020/10"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	30	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2020"	"2020/10"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	89	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2020"	"2020/11"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	58	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2020"	"2020/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	258	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2020"	"2020/11"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	27	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2020"	"2020/11"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	78	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2020"	"2020/12"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	104	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2020"	"2020/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	289	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2020"	"2020/12"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2020"	"2020/12"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	103	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2021 "	"2021/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	97	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2021 "	"2021/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	316	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2021 "	"2021/01"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	36	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2021 "	"2021/01"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	114	Not Applicable	Not Applicable	Not Applicable	Not Applicable
