"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Idaho"	"16"	"2019"	"2019"	1600	1787065	89.5
	"Idaho"	"16"	"2020"	"2020"	1361	1826913	74.5
	"Idaho"	"16"	"2021 "	"2021"	1449	1900923	76.2
"Total"	"Idaho"	"16"			5857	7269109	80.6
	"Illinois"	"17"	"2018"	"2018"	10753	12741080	84.4
	"Illinois"	"17"	"2019"	"2019"	10036	12671821	79.2
	"Illinois"	"17"	"2020"	"2020"	10247	12587530	81.4
	"Illinois"	"17"	"2021 "	"2021"	9178	12671469	72.4
"Total"	"Illinois"	"17"			40214	50671900	79.4
	"Indiana"	"18"	"2018"	"2018"	7371	6691878	110.1
	"Indiana"	"18"	"2019"	"2019"	7237	6732219	107.5
	"Indiana"	"18"	"2020"	"2020"	7050	6754953	104.4
	"Indiana"	"18"	"2021 "	"2021"	6657	6805985	97.8
"Total"	"Indiana"	"18"			28315	26985035	104.9
	"Iowa"	"19"	"2018"	"2018"	3282	3156145	104.0
	"Iowa"	"19"	"2019"	"2019"	3215	3155070	101.9
	"Iowa"	"19"	"2020"	"2020"	2957	3163561	93.5
	"Iowa"	"19"	"2021 "	"2021"	2661	3193079	83.3
"Total"	"Iowa"	"19"			12115	12667855	95.6
	"Kansas"	"20"	"2018"	"2018"	3151	2911505	108.2
	"Kansas"	"20"	"2019"	"2019"	3045	2913314	104.5
	"Kansas"	"20"	"2020"	"2020"	2809	2913805	96.4
	"Kansas"	"20"	"2021 "	"2021"	2570	2934582	87.6
"Total"	"Kansas"	"20"			11575	11673206	99.2
	"Kentucky"	"21"	"2018"	"2018"	5648	4468402	126.4
	"Kentucky"	"21"	"2019"	"2019"	5636	4467673	126.2
	"Kentucky"	"21"	"2020"	"2020"	5298	4477251	118.3
	"Kentucky"	"21"	"2021 "	"2021"	5201	4509394	115.3
"Total"	"Kentucky"	"21"			21783	17922720	121.5
	"Louisiana"	"22"	"2018"	"2018"	4417	4659978	94.8
	"Louisiana"	"22"	"2019"	"2019"	4059	4648794	87.3
	"Louisiana"	"22"	"2020"	"2020"	4472	4645318	96.3
	"Louisiana"	"22"	"2021 "	"2021"	4127	4624047	89.3
"Total"	"Louisiana"	"22"			17075	18578137	91.9
	"Maine"	"23"	"2018"	"2018"	1577	1338404	117.8
	"Maine"	"23"	"2019"	"2019"	1578	1344212	117.4
	"Maine"	"23"	"2020"	"2020"	1380	1350141	102.2
	"Maine"	"23"	"2021 "	"2021"	1369	1372247	99.8
"Total"	"Maine"	"23"			5904	5405004	109.2
	"Maryland"	"24"	"2018"	"2018"	4185	6042718	69.3
	"Maryland"	"24"	"2019"	"2019"	4023	6045680	66.5
	"Maryland"	"24"	"2020"	"2020"	3937	6055802	65.0
	"Maryland"	"24"	"2021 "	"2021"	3478	6165129	56.4
"Total"	"Maryland"	"24"			15623	24309329	64.3
	"Massachusetts"	"25"	"2018"	"2018"	5880	6902149	85.2
	"Massachusetts"	"25"	"2019"	"2019"	5665	6892503	82.2
	"Massachusetts"	"25"	"2020"	"2020"	5425	6893574	78.7
	"Massachusetts"	"25"	"2021 "	"2021"	4926	6984723	70.5
"Total"	"Massachusetts"	"25"			21896	27672949	79.1
	"Michigan"	"26"	"2018"	"2018"	9571	9995915	95.7
	"Michigan"	"26"	"2019"	"2019"	9338	9986857	93.5
	"Michigan"	"26"	"2020"	"2020"	9295	9966555	93.3
	"Michigan"	"26"	"2021 "	"2021"	8268	10050811	82.3
"Total"	"Michigan"	"26"			36472	40000138	91.2
	"Minnesota"	"27"	"2018"	"2018"	3977	5611179	70.9
	"Minnesota"	"27"	"2019"	"2019"	3700	5639632	65.6
	"Minnesota"	"27"	"2020"	"2020"	3676	5657342	65.0
	"Minnesota"	"27"	"2021 "	"2021"	3411	5707390	59.8
"Total"	"Minnesota"	"27"			14764	22615543	65.3
	"Mississippi"	"28"	"2018"	"2018"	3847	2986530	128.8
	"Mississippi"	"28"	"2019"	"2019"	3607	2976149	121.2
	"Mississippi"	"28"	"2020"	"2020"	3767	2966786	127.0
	"Mississippi"	"28"	"2021 "	"2021"	3551	2949965	120.4
"Total"	"Mississippi"	"28"			14772	11879430	124.3
	"Missouri"	"29"	"2018"	"2018"	7224	6126452	117.9
	"Missouri"	"29"	"2019"	"2019"	6699	6137428	109.1
	"Missouri"	"29"	"2020"	"2020"	7062	6151548	114.8
	"Missouri"	"29"	"2021 "	"2021"	6352	6168187	103.0
"Total"	"Missouri"	"29"			27337	24583615	111.2
	"Montana"	"30"	"2018"	"2018"	1083	1062305	101.9
	"Montana"	"30"	"2019"	"2019"	1151	1068778	107.7
	"Montana"	"30"	"2020"	"2020"	1012	1080577	93.7
	"Montana"	"30"	"2021 "	"2021"	915	1104271	82.9
"Total"	"Montana"	"30"			4161	4315931	96.4
	"Nebraska"	"31"	"2018"	"2018"	1986	1929268	102.9
	"Nebraska"	"31"	"2019"	"2019"	1925	1934408	99.5
	"Nebraska"	"31"	"2020"	"2020"	1765	1937552	91.1
	"Nebraska"	"31"	"2021 "	"2021"	1590	1963692	81.0
"Total"	"Nebraska"	"31"			7266	7764920	93.6
	"Nevada"	"32"	"2018"	"2018"	2538	3034392	83.6
	"Nevada"	"32"	"2019"	"2019"	2416	3080156	78.4
	"Nevada"	"32"	"2020"	"2020"	2468	3138259	78.6
	"Nevada"	"32"	"2021 "	"2021"	2247	3143991	71.5
"Total"	"Nevada"	"32"			9669	12396798	78.0
	"New Hampshire"	"33"	"2018"	"2018"	1357	1356458	100.0
	"New Hampshire"	"33"	"2019"	"2019"	1258	1359711	92.5
	"New Hampshire"	"33"	"2020"	"2020"	1095	1366275	80.1
	"New Hampshire"	"33"	"2021 "	"2021"	1089	1388992	78.4
"Total"	"New Hampshire"	"33"			4799	5471436	87.7
	"New Jersey"	"34"	"2018"	"2018"	7184	8908520	80.6
	"New Jersey"	"34"	"2019"	"2019"	6793	8882190	76.5
	"New Jersey"	"34"	"2020"	"2020"	7384	8882371	83.1
	"New Jersey"	"34"	"2021 "	"2021"	6234	9267130	67.3
"Total"	"New Jersey"	"34"			27595	35940211	76.8
	"New Mexico"	"35"	"2018"	"2018"	1894	2095428	90.4
	"New Mexico"	"35"	"2019"	"2019"	1844	2096829	87.9
	"New Mexico"	"35"	"2020"	"2020"	1904	2106319	90.4
	"New Mexico"	"35"	"2021 "	"2021"	1788	2115877	84.5
"Total"	"New Mexico"	"35"			7430	8414453	88.3
	"New York"	"36"	"2018"	"2018"	15121	19542209	77.4
	"New York"	"36"	"2019"	"2019"	14662	19453561	75.4
	"New York"	"36"	"2020"	"2020"	15018	19336776	77.7
	"New York"	"36"	"2021 "	"2021"	13409	19835913	67.6
"Total"	"New York"	"36"			58210	78168459	74.5
	"North Carolina"	"37"	"2018"	"2018"	9670	10383620	93.1
	"North Carolina"	"37"	"2019"	"2019"	9498	10488084	90.6
	"North Carolina"	"37"	"2020"	"2020"	9309	10600823	87.8
	"North Carolina"	"37"	"2021 "	"2021"	8805	10551162	83.5
"Total"	"North Carolina"	"37"			37282	42023689	88.7
	"North Dakota"	"38"	"2018"	"2018"	643	760077	84.6
	"North Dakota"	"38"	"2019"	"2019"	657	762062	86.2
	"North Dakota"	"38"	"2020"	"2020"	644	765309	84.1
	"North Dakota"	"38"	"2021 "	"2021"	608	774948	78.5
"Total"	"North Dakota"	"38"			2552	3062396	83.3
	"Ohio"	"39"	"2018"	"2018"	13005	11689442	111.3
	"Ohio"	"39"	"2019"	"2019"	12038	11689100	103.0
	"Ohio"	"39"	"2020"	"2020"	12104	11693217	103.5
	"Ohio"	"39"	"2021 "	"2021"	11242	11780017	95.4
"Total"	"Ohio"	"39"			48389	46851776	103.3
	"Oklahoma"	"40"	"2018"	"2018"	4526	3943079	114.8
	"Oklahoma"	"40"	"2019"	"2019"	4339	3956971	109.7
	"Oklahoma"	"40"	"2020"	"2020"	4191	3980783	105.3
	"Oklahoma"	"40"	"2021 "	"2021"	4133	3986639	103.7
"Total"	"Oklahoma"	"40"			17189	15867472	108.3
	"Oregon"	"41"	"2018"	"2018"	3044	4190713	72.6
	"Oregon"	"41"	"2019"	"2019"	3239	4217737	76.8
	"Oregon"	"41"	"2020"	"2020"	2994	4241507	70.6
	"Oregon"	"41"	"2021 "	"2021"	2817	4246155	66.3
"Total"	"Oregon"	"41"			12094	16896112	71.6
	"Pennsylvania"	"42"	"2018"	"2018"	12740	12807060	99.5
	"Pennsylvania"	"42"	"2019"	"2019"	12249	12801989	95.7
	"Pennsylvania"	"42"	"2020"	"2020"	11791	12783254	92.2
	"Pennsylvania"	"42"	"2021 "	"2021"	10768	12964056	83.1
"Total"	"Pennsylvania"	"42"			47548	51356359	92.6
	"Rhode Island"	"44"	"2018"	"2018"	855	1057315	80.9
	"Rhode Island"	"44"	"2019"	"2019"	888	1059361	83.8
	"Rhode Island"	"44"	"2020"	"2020"	775	1057125	73.3
	"Rhode Island"	"44"	"2021 "	"2021"	708	1095610	64.6
"Total"	"Rhode Island"	"44"			3226	4269411	75.6
	"South Carolina"	"45"	"2018"	"2018"	4930	5084127	97.0
	"South Carolina"	"45"	"2019"	"2019"	4820	5148714	93.6
	"South Carolina"	"45"	"2020"	"2020"	5111	5218040	97.9
	"South Carolina"	"45"	"2021 "	"2021"	4792	5190705	92.3
"Total"	"South Carolina"	"45"			19653	20641586	95.2
	"South Dakota"	"46"	"2018"	"2018"	895	882235	101.4
	"South Dakota"	"46"	"2019"	"2019"	891	884659	100.7
	"South Dakota"	"46"	"2020"	"2020"	733	892717	82.1
	"South Dakota"	"46"	"2021 "	"2021"	750	895376	83.8
"Total"	"South Dakota"	"46"			3269	3554987	92.0
	"Tennessee"	"47"	"2018"	"2018"	7791	6770010	115.1
	"Tennessee"	"47"	"2019"	"2019"	7446	6829174	109.0
	"Tennessee"	"47"	"2020"	"2020"	7586	6886834	110.2
	"Tennessee"	"47"	"2021 "	"2021"	7266	6975218	104.2
"Total"	"Tennessee"	"47"			30089	27461236	109.6
	"Texas"	"48"	"2018"	"2018"	19041	28701845	66.3
	"Texas"	"48"	"2019"	"2019"	18524	28995881	63.9
	"Texas"	"48"	"2020"	"2020"	18485	29360759	63.0
	"Texas"	"48"	"2021 "	"2021"	17836	29527941	60.4
"Total"	"Texas"	"48"			73886	116586426	63.4
	"Utah"	"49"	"2018"	"2018"	1619	3161105	51.2
	"Utah"	"49"	"2019"	"2019"	1538	3205958	48.0
	"Utah"	"49"	"2020"	"2020"	1619	3249879	49.8
	"Utah"	"49"	"2021 "	"2021"	1491	3337975	44.7
"Total"	"Utah"	"49"			6267	12954917	48.4
	"Vermont"	"50"	"2018"	"2018"	553	626299	88.3
	"Vermont"	"50"	"2019"	"2019"	505	623989	80.9
	"Vermont"	"50"	"2020"	"2020"	507	623347	81.3
	"Vermont"	"50"	"2021 "	"2021"	449	645570	69.6
"Total"	"Vermont"	"50"			2014	2519205	79.9
	"Virginia"	"51"	"2018"	"2018"	6617	8517685	77.7
	"Virginia"	"51"	"2019"	"2019"	6566	8535519	76.9
	"Virginia"	"51"	"2020"	"2020"	6496	8590563	75.6
	"Virginia"	"51"	"2021 "	"2021"	6044	8642274	69.9
"Total"	"Virginia"	"51"			25723	34286041	75.0
	"Washington"	"53"	"2018"	"2018"	5350	7535591	71.0
	"Washington"	"53"	"2019"	"2019"	5488	7614893	72.1
	"Washington"	"53"	"2020"	"2020"	4971	7693612	64.6
	"Washington"	"53"	"2021 "	"2021"	4526	7738692	58.5
"Total"	"Washington"	"53"			20335	30582788	66.5
	"West Virginia"	"54"	"2018"	"2018"	2704	1805832	149.7
	"West Virginia"	"54"	"2019"	"2019"	2583	1792147	144.1
	"West Virginia"	"54"	"2020"	"2020"	2540	1784787	142.3
	"West Virginia"	"54"	"2021 "	"2021"	2473	1782959	138.7
"Total"	"West Virginia"	"54"			10300	7165725	143.7
	"Wisconsin"	"55"	"2018"	"2018"	5074	5813568	87.3
	"Wisconsin"	"55"	"2019"	"2019"	4759	5822434	81.7
	"Wisconsin"	"55"	"2020"	"2020"	4661	5832655	79.9
	"Wisconsin"	"55"	"2021 "	"2021"	4122	5895908	69.9
"Total"	"Wisconsin"	"55"			18616	23364565	79.7
	"Wyoming"	"56"	"2018"	"2018"	661	577737	114.4
	"Wyoming"	"56"	"2019"	"2019"	610	578759	105.4
	"Wyoming"	"56"	"2020"	"2020"	598	582328	102.7
	"Wyoming"	"56"	"2021 "	"2021"	568	578803	98.1
"Total"	"Wyoming"	"56"			2437	2317627	105.2
"Total"					1075008	1316784825	81.6
